Teams??,Teams??2,Matches Played??,Goals for??,Goals scored??,Goals Against??,Penalty goal??,Own goals For??,Open Play Goals??,Set Piece Goals??
Germany,GER,7,18,18,4,1,0,15,3
Netherlands,NED,7,15,15,4,2,0,13,2
Colombia,COL,5,12,12,4,2,0,9,3
Brazil,BRA,7,11,11,14,1,0,8,3
France,FRA,5,10,8,3,1,2,8,2
Argentina,ARG,7,8,7,4,0,1,7,1
Algeria,ALG,4,7,7,7,1,0,4,3
Switzerland,SUI,4,7,7,7,0,0,5,2
Croatia,CRO,3,6,5,6,0,1,5,1
Chile,CHI,4,6,6,4,0,0,6,0
Belgium,BEL,5,6,6,3,0,0,6,0
Mexico,MEX,4,5,5,3,0,0,4,1
USA,USA,4,5,5,6,0,0,4,1
Costa Rica,CRC,5,5,5,2,0,0,4,1
Bosnia and Herzegovina,BIH,3,4,4,4,0,0,4,0
Côte d'Ivoire,CIV,3,4,4,5,0,0,4,0
Ghana,GHA,3,4,4,6,0,0,4,0
Spain,ESP,3,4,4,7,1,0,3,1
Portugal,POR,3,4,3,7,0,1,4,0
Uruguay,URU,4,4,4,6,1,0,2,2
Ecuador,ECU,3,3,3,3,0,0,1,2
Korea Republic,KOR,3,3,3,6,0,0,3,0
Australia,AUS,3,3,3,9,1,0,2,1
Greece,GRE,4,3,3,5,1,0,2,1
Nigeria,NGA,4,3,3,5,0,0,3,0
Italy,ITA,3,2,2,3,0,0,2,0
Russia,RUS,3,2,2,3,0,0,2,0
England,ENG,3,2,2,4,0,0,2,0
Japan,JPN,3,2,2,6,0,0,2,0
Iran,IRN,3,1,1,4,0,0,1,0
Honduras,HON,3,1,1,8,0,0,1,0
Cameroon,CMR,3,1,1,9,0,0,1,0
