,Rank,Nation,Weighted Mathces,Score,Rating
0,1,England,43,"5,372",125
1,2,India,47,"5,669",121
2,3,South Africa,39,"4,488",115
3,4,New Zealand,33,"3,729",113
4,5,Australia,40,"4,342",109
5,6,Pakistan,41,"3,846",94
6,7,Bangladesh,35,"3,155",90
7,8,West Indies,39,"3,022",77
8,9,Sri Lanka,43,"3,266",76
9,10,Afghanistan,31,"1,961",63
10,11,Zimbabwe,30,"1,609",54
11,12,Ireland,26,"1,176",45
12,13,Scotland,10,373,37
13,14,Nepal,8,152,19
14,15,UAE,15,144,10
15,16,Papua New Guinea,9,50,6
16,1,England,43,"5,372",125
17,2,India,47,"5,669",121
18,3,South Africa,39,"4,488",115
19,4,New Zealand,33,"3,729",113
20,5,Australia,40,"4,342",109
21,6,Pakistan,41,"3,846",94
22,7,Bangladesh,35,"3,155",90
23,8,West Indies,39,"3,022",77
24,9,Sri Lanka,43,"3,266",76
25,10,Afghanistan,31,"1,961",63
26,11,Zimbabwe,30,"1,609",54
27,12,Ireland,26,"1,176",45
28,13,Scotland,10,373,37
29,14,Nepal,8,152,19
30,15,UAE,15,144,10
31,16,Papua New Guinea,9,50,6
